# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "assembly/DV3.gff" "-t" "CDS" "-g" "ID" "-o" "DV3/featureCount_DV3.txt" "DV3/DV3_rep1_rna_map.sorted.bam" "DV3/DV3_rep2_rna_map.sorted.bam" "DV3/DV3_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	DV3/DV3_rep1_rna_map.sorted.bam	DV3/DV3_rep2_rna_map.sorted.bam	DV3/DV3_rep3_rna_map.sorted.bam
LGFCPJMF_00160	contig_1_pilon	173926	174762	-	837	574	512	727
LGFCPJMF_00161	contig_1_pilon	175474	176625	+	1152	27	45	80
LGFCPJMF_00162	contig_1_pilon	176644	177786	+	1143	34	50	142
LGFCPJMF_00163	contig_1_pilon	177907	178461	+	555	282	357	345
LGFCPJMF_00164	contig_1_pilon	178627	179010	+	384	68	40	309
LGFCPJMF_00165	contig_1_pilon	179007	179465	+	459	169	90	342
LGFCPJMF_00166	contig_1_pilon	179582	180580	+	999	169	86	272
LGFCPJMF_00167	contig_1_pilon	180613	180759	-	147	0	0	0
LGFCPJMF_00168	contig_1_pilon	180797	181045	-	249	1	0	0
LGFCPJMF_00169	contig_1_pilon	181372	181959	+	588	131	147	72
LGFCPJMF_00170	contig_1_pilon	182117	182521	+	405	10	7	0
LGFCPJMF_00171	contig_1_pilon	182536	182916	-	381	4	12	26
LGFCPJMF_00172	contig_1_pilon	183063	183617	+	555	2	11	40
LGFCPJMF_00173	contig_1_pilon	183773	184084	+	312	4	2	0
LGFCPJMF_00174	contig_1_pilon	184387	184665	-	279	68	53	176
LGFCPJMF_00175	contig_1_pilon	184673	185239	-	567	237	265	312
LGFCPJMF_00176	contig_1_pilon	185627	186097	+	471	461	665	610
LGFCPJMF_00177	contig_1_pilon	187197	188987	+	1791	1194	1400	2257
LGFCPJMF_00178	contig_1_pilon	189136	190338	+	1203	95	124	322
LGFCPJMF_00179	contig_1_pilon	190548	191102	+	555	23	67	2
LGFCPJMF_00180	contig_1_pilon	191487	192224	+	738	105	144	104
LGFCPJMF_00181	contig_1_pilon	192905	193612	-	708	26	81	102
LGFCPJMF_00182	contig_1_pilon	193669	194304	-	636	52	47	9
LGFCPJMF_00183	contig_1_pilon	194913	195350	+	438	72	90	173
LGFCPJMF_00184	contig_1_pilon	196085	196570	-	486	168	144	270
LGFCPJMF_00185	contig_1_pilon	196771	196953	-	183	0	2	0
LGFCPJMF_00186	contig_1_pilon	196980	197255	+	276	8	5	5
LGFCPJMF_00187	contig_1_pilon	197828	199213	-	1386	10	6	48
LGFCPJMF_00188	contig_1_pilon	200997	202151	+	1155	6	10	24
LGFCPJMF_00189	contig_1_pilon	202545	203117	-	573	70	154	189
LGFCPJMF_00190	contig_1_pilon	203218	204792	-	1575	125	234	261
LGFCPJMF_00191	contig_1_pilon	204857	205018	-	162	26	57	0
LGFCPJMF_00192	contig_1_pilon	205261	206598	+	1338	209	191	401
LGFCPJMF_00193	contig_1_pilon	206731	207273	+	543	294	307	171
LGFCPJMF_00194	contig_1_pilon	207270	208592	-	1323	52	60	82
LGFCPJMF_00195	contig_1_pilon	208742	209662	+	921	20	12	0
LGFCPJMF_00196	contig_1_pilon	209756	209992	+	237	0	0	0
LGFCPJMF_00197	contig_1_pilon	209992	210495	+	504	0	3	0
LGFCPJMF_00198	contig_1_pilon	210492	210911	+	420	1	0	0
LGFCPJMF_00199	contig_1_pilon	210970	211446	+	477	4	6	0
LGFCPJMF_00200	contig_1_pilon	211450	212064	+	615	0	7	0
LGFCPJMF_00201	contig_1_pilon	212334	212576	+	243	0	2	0
LGFCPJMF_00202	contig_1_pilon	212567	213604	+	1038	8	0	24
LGFCPJMF_00203	contig_1_pilon	213613	214137	+	525	8	8	0
LGFCPJMF_00204	contig_1_pilon	214134	214805	+	672	7	9	54
LGFCPJMF_00205	contig_1_pilon	214903	216480	+	1578	22	19	54
LGFCPJMF_00206	contig_1_pilon	216513	216644	+	132	0	2	0
LGFCPJMF_00207	contig_1_pilon	216729	216959	+	231	2	13	30
LGFCPJMF_00208	contig_1_pilon	217006	218247	-	1242	7	2	0
LGFCPJMF_00209	contig_1_pilon	218534	219382	-	849	10	19	75
LGFCPJMF_00210	contig_1_pilon	219641	219850	+	210	1	13	3
LGFCPJMF_00211	contig_1_pilon	219796	220071	+	276	20	22	48
LGFCPJMF_00212	contig_1_pilon	220253	220942	+	690	94	162	152
LGFCPJMF_00213	contig_1_pilon	221449	222072	-	624	31	37	72
LGFCPJMF_00214	contig_1_pilon	222350	223711	-	1362	192	190	226
LGFCPJMF_00215	contig_1_pilon	224610	224756	+	147	2	0	0
LGFCPJMF_00216	contig_1_pilon	224753	225643	+	891	0	1	0
LGFCPJMF_00217	contig_1_pilon	225651	226358	+	708	0	0	0
LGFCPJMF_00218	contig_1_pilon	226511	227152	+	642	0	0	0
LGFCPJMF_00219	contig_1_pilon	227149	228705	+	1557	0	8	0
LGFCPJMF_00220	contig_1_pilon	228702	228893	+	192	0	1	0
LGFCPJMF_00221	contig_1_pilon	228985	229218	+	234	0	1	0
LGFCPJMF_00222	contig_1_pilon	229326	229850	+	525	4	2	0
LGFCPJMF_00223	contig_1_pilon	230110	231828	+	1719	29	27	10
LGFCPJMF_00224	contig_1_pilon	231957	232358	+	402	59	43	148
LGFCPJMF_00225	contig_1_pilon	232437	233129	+	693	41	47	126
LGFCPJMF_00226	contig_1_pilon	233236	233520	-	285	21	25	12
LGFCPJMF_00227	contig_1_pilon	234274	234396	+	123	4	2	2
LGFCPJMF_00228	contig_1_pilon	234527	234826	+	300	12	39	32
LGFCPJMF_00229	contig_1_pilon	235702	237480	+	1779	27	22	29
LGFCPJMF_00230	contig_1_pilon	237535	237696	+	162	4	5	15
LGFCPJMF_00231	contig_1_pilon	237775	238047	-	273	8	1	15
LGFCPJMF_00232	contig_1_pilon	238351	239172	-	822	6	6	34
LGFCPJMF_00233	contig_1_pilon	239188	239478	-	291	29	26	11
LGFCPJMF_00234	contig_1_pilon	239586	239870	-	285	3	23	30
LGFCPJMF_00235	contig_1_pilon	240446	240595	+	150	24	27	17
LGFCPJMF_00236	contig_1_pilon	240846	241073	-	228	3	2	13
LGFCPJMF_00237	contig_1_pilon	241417	241824	+	408	41	30	1
LGFCPJMF_00238	contig_1_pilon	242052	249491	+	7440	229	150	756
LGFCPJMF_00239	contig_1_pilon	249429	249809	-	381	36	19	0
LGFCPJMF_00240	contig_1_pilon	250332	251360	-	1029	85	45	326
LGFCPJMF_00241	contig_1_pilon	251500	251979	-	480	15	8	18
LGFCPJMF_00242	contig_1_pilon	252010	252882	-	873	0	0	0
LGFCPJMF_00243	contig_1_pilon	252879	254108	-	1230	2	6	22
LGFCPJMF_00244	contig_1_pilon	254158	254490	-	333	0	1	0
LGFCPJMF_00245	contig_1_pilon	254495	255718	-	1224	0	2	0
LGFCPJMF_00246	contig_1_pilon	255715	256227	-	513	0	0	0
LGFCPJMF_00247	contig_1_pilon	256224	257057	-	834	0	0	0
LGFCPJMF_00248	contig_1_pilon	257094	257489	-	396	0	0	0
LGFCPJMF_00249	contig_1_pilon	257523	257966	-	444	0	0	3
LGFCPJMF_00250	contig_1_pilon	257963	258406	-	444	0	1	2
LGFCPJMF_00251	contig_1_pilon	258500	258847	-	348	0	2	0
LGFCPJMF_00252	contig_1_pilon	259091	259876	-	786	6	0	0
LGFCPJMF_00253	contig_1_pilon	259846	260547	-	702	0	3	0
LGFCPJMF_00254	contig_1_pilon	260564	261043	-	480	0	1	0
LGFCPJMF_00255	contig_1_pilon	261040	261696	-	657	9	9	70
LGFCPJMF_00256	contig_1_pilon	261847	262602	-	756	2	13	14
LGFCPJMF_00257	contig_1_pilon	263101	264222	+	1122	10	12	0
LGFCPJMF_00258	contig_1_pilon	264546	264857	+	312	0	0	0
LGFCPJMF_00259	contig_1_pilon	264857	265525	+	669	0	0	0
LGFCPJMF_00260	contig_1_pilon	265541	266902	+	1362	36	52	38
LGFCPJMF_00261	contig_1_pilon	266979	268451	+	1473	0	0	0
LGFCPJMF_00262	contig_1_pilon	268808	269260	+	453	0	0	0
LGFCPJMF_00263	contig_1_pilon	269286	270794	+	1509	0	2	0
LGFCPJMF_00264	contig_1_pilon	270805	271371	+	567	0	0	0
LGFCPJMF_00265	contig_1_pilon	271726	272514	+	789	0	0	20
LGFCPJMF_00266	contig_1_pilon	272525	273139	+	615	0	0	0
LGFCPJMF_00267	contig_1_pilon	273243	273923	+	681	2	0	0
LGFCPJMF_00269	contig_1_pilon	275067	275522	+	456	2	0	0
LGFCPJMF_00270	contig_1_pilon	275519	275863	+	345	4	0	0
LGFCPJMF_00271	contig_1_pilon	275954	277060	+	1107	0	4	8
LGFCPJMF_00272	contig_1_pilon	277129	277884	-	756	27	42	48
LGFCPJMF_00273	contig_1_pilon	278054	278671	-	618	122	207	185
LGFCPJMF_00274	contig_1_pilon	278923	279456	-	534	41	50	30
LGFCPJMF_00275	contig_1_pilon	279961	280458	+	498	17	10	20
LGFCPJMF_00276	contig_1_pilon	280557	280994	+	438	2	7	5
LGFCPJMF_00277	contig_1_pilon	280991	281776	+	786	0	0	0
LGFCPJMF_00278	contig_1_pilon	281773	282630	+	858	2	0	16
LGFCPJMF_00279	contig_1_pilon	282644	283339	+	696	0	0	0
LGFCPJMF_00280	contig_1_pilon	283363	284121	+	759	0	0	0
LGFCPJMF_00281	contig_1_pilon	284208	284615	+	408	0	0	0
LGFCPJMF_00282	contig_1_pilon	284890	285270	+	381	6	0	2
LGFCPJMF_00283	contig_1_pilon	285267	286070	+	804	0	0	0
LGFCPJMF_00284	contig_1_pilon	286099	286455	+	357	0	0	0
LGFCPJMF_00285	contig_1_pilon	286446	286853	+	408	0	0	0
LGFCPJMF_00286	contig_1_pilon	287548	287874	+	327	0	0	0
LGFCPJMF_00287	contig_1_pilon	288214	290001	+	1788	4	0	0
LGFCPJMF_00288	contig_1_pilon	290086	290697	+	612	6	8	0
LGFCPJMF_00289	contig_1_pilon	291025	291825	+	801	2	0	0
LGFCPJMF_00290	contig_1_pilon	291947	292372	+	426	0	0	0
LGFCPJMF_00291	contig_1_pilon	292616	293356	+	741	0	0	0
LGFCPJMF_00292	contig_1_pilon	293353	294597	+	1245	0	0	4
LGFCPJMF_00293	contig_1_pilon	294597	295718	+	1122	0	0	0
LGFCPJMF_00294	contig_1_pilon	295754	296056	+	303	0	0	0
LGFCPJMF_00295	contig_1_pilon	296140	296763	+	624	63	132	158
LGFCPJMF_00296	contig_1_pilon	297065	297346	+	282	155	222	84
LGFCPJMF_00297	contig_1_pilon	297858	298082	-	225	152	320	304
LGFCPJMF_00298	contig_1_pilon	298707	300275	+	1569	24	44	26
LGFCPJMF_00299	contig_1_pilon	300407	301357	-	951	16	36	82
LGFCPJMF_00300	contig_1_pilon	301484	302173	-	690	14	11	38
LGFCPJMF_00301	contig_1_pilon	302291	303046	-	756	50	53	139
LGFCPJMF_00302	contig_1_pilon	304388	308113	+	3726	230	197	339
LGFCPJMF_00303	contig_1_pilon	308115	309755	+	1641	208	162	723
LGFCPJMF_00304	contig_1_pilon	309752	310378	+	627	33	17	59
LGFCPJMF_00305	contig_1_pilon	310375	311166	+	792	81	49	116
LGFCPJMF_00306	contig_1_pilon	311285	312340	+	1056	28	35	9
LGFCPJMF_00307	contig_1_pilon	312508	313572	-	1065	4	12	4
LGFCPJMF_00308	contig_1_pilon	313715	314206	-	492	6	2	0
LGFCPJMF_00309	contig_1_pilon	314904	315929	+	1026	38	22	30
LGFCPJMF_00310	contig_1_pilon	315908	316090	-	183	12	17	5
LGFCPJMF_00311	contig_1_pilon	316877	317335	-	459	42	72	42
LGFCPJMF_00312	contig_1_pilon	317727	318458	+	732	57	115	55
LGFCPJMF_00313	contig_1_pilon	318738	319085	+	348	9	0	30
LGFCPJMF_00314	contig_1_pilon	319299	319775	+	477	17	25	42
LGFCPJMF_00315	contig_1_pilon	320070	320726	+	657	2	2	0
LGFCPJMF_00316	contig_1_pilon	320969	321376	-	408	80	90	82
LGFCPJMF_00317	contig_1_pilon	322070	322771	-	702	44	26	46
LGFCPJMF_00318	contig_1_pilon	323008	323463	-	456	2	10	0
LGFCPJMF_00319	contig_1_pilon	324060	324815	-	756	33	50	42
LGFCPJMF_00320	contig_1_pilon	324992	326233	-	1242	5	3	4
LGFCPJMF_00321	contig_1_pilon	326433	327164	+	732	4	4	0
LGFCPJMF_00322	contig_1_pilon	327315	328355	-	1041	418	623	533
LGFCPJMF_00323	contig_1_pilon	329153	330580	+	1428	40	42	166
LGFCPJMF_00324	contig_1_pilon	330710	331363	+	654	28	72	24
LGFCPJMF_00325	contig_1_pilon	331417	331755	-	339	0	2	0
LGFCPJMF_00326	contig_1_pilon	331787	332734	-	948	10	7	4
LGFCPJMF_00327	contig_1_pilon	332734	333348	-	615	10	18	18
LGFCPJMF_00328	contig_1_pilon	333348	334196	-	849	35	63	22
LGFCPJMF_00329	contig_1_pilon	334841	336094	-	1254	102	169	128
LGFCPJMF_00330	contig_1_pilon	336494	337186	-	693	39	92	180
LGFCPJMF_00331	contig_1_pilon	337729	337938	+	210	2	0	0
LGFCPJMF_00332	contig_1_pilon	337928	339304	+	1377	5	2	0
LGFCPJMF_00333	contig_1_pilon	339348	340574	+	1227	0	2	0
LGFCPJMF_00334	contig_1_pilon	340618	340905	+	288	26	35	40
LGFCPJMF_00335	contig_1_pilon	341474	341782	-	309	0	4	4
LGFCPJMF_00336	contig_1_pilon	341846	342256	-	411	4	0	0
LGFCPJMF_00337	contig_1_pilon	342280	342585	+	306	0	3	0
LGFCPJMF_00338	contig_1_pilon	342919	343644	+	726	10	2	2
LGFCPJMF_00339	contig_1_pilon	343795	344496	+	702	2	0	2
LGFCPJMF_00340	contig_1_pilon	344856	345293	-	438	36	36	268
LGFCPJMF_00341	contig_1_pilon	345349	345744	-	396	63	29	74
LGFCPJMF_00342	contig_1_pilon	345844	346275	-	432	80	151	159
LGFCPJMF_00343	contig_1_pilon	346404	346961	+	558	18	6	6
LGFCPJMF_00344	contig_1_pilon	347231	347512	+	282	4	7	0
LGFCPJMF_00345	contig_1_pilon	347546	347689	+	144	0	5	2
LGFCPJMF_00346	contig_1_pilon	347848	348033	-	186	0	1	0
LGFCPJMF_00347	contig_1_pilon	348401	348763	-	363	0	2	0
LGFCPJMF_00348	contig_1_pilon	348821	349162	-	342	42	16	62
LGFCPJMF_00349	contig_1_pilon	349847	350191	-	345	26	23	39
LGFCPJMF_00350	contig_1_pilon	350328	351137	+	810	32	22	22
LGFCPJMF_00351	contig_1_pilon	351242	351457	-	216	0	0	0
LGFCPJMF_00352	contig_1_pilon	351546	351788	-	243	0	0	0
LGFCPJMF_00353	contig_1_pilon	352071	354197	-	2127	0	2	0
LGFCPJMF_00354	contig_1_pilon	354213	354482	-	270	0	0	0
LGFCPJMF_00355	contig_1_pilon	354995	355666	+	672	38	21	22
LGFCPJMF_00356	contig_1_pilon	355660	356787	+	1128	39	23	87
LGFCPJMF_00357	contig_1_pilon	357150	357323	+	174	0	0	2
LGFCPJMF_00358	contig_1_pilon	357571	359073	-	1503	10	10	86
LGFCPJMF_00359	contig_1_pilon	360261	361040	+	780	10	12	12
LGFCPJMF_00360	contig_1_pilon	361590	362393	-	804	0	1	0
LGFCPJMF_00361	contig_1_pilon	362390	363061	-	672	0	1	0
LGFCPJMF_00362	contig_1_pilon	363305	363880	+	576	0	0	0
