# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "assembly/R7.gff" "-t" "CDS" "-g" "ID" "-o" "R7/featureCount_R7.txt" "R7/R7_rep1_rna_map.sorted.bam" "R7/R7_rep2_rna_map.sorted.bam" "R7/R7_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	R7/R7_rep1_rna_map.sorted.bam	R7/R7_rep2_rna_map.sorted.bam	R7/R7_rep3_rna_map.sorted.bam
PAOEAKHP_00038	contig_2_pilon	36421	36816	-	396	10	15	1
PAOEAKHP_00039	contig_2_pilon	36845	37948	-	1104	453	382	530
PAOEAKHP_00040	contig_2_pilon	38206	38343	+	138	3	0	6
PAOEAKHP_00041	contig_2_pilon	39257	39550	-	294	62	77	113
PAOEAKHP_00042	contig_2_pilon	39589	40152	-	564	248	199	162
PAOEAKHP_00043	contig_2_pilon	40255	40530	+	276	7	10	10
PAOEAKHP_00044	contig_2_pilon	40851	41477	-	627	6	2	0
PAOEAKHP_00045	contig_2_pilon	41745	41894	-	150	1	3	6
PAOEAKHP_00046	contig_2_pilon	42108	42374	-	267	40	45	16
PAOEAKHP_00047	contig_2_pilon	42500	43408	-	909	73	95	105
PAOEAKHP_00048	contig_2_pilon	43692	44123	-	432	15	7	12
PAOEAKHP_00049	contig_2_pilon	44288	44770	-	483	12	19	16
PAOEAKHP_00050	contig_2_pilon	46157	47437	-	1281	9	12	6
PAOEAKHP_00051	contig_2_pilon	47555	47755	-	201	5	3	6
PAOEAKHP_00052	contig_2_pilon	48079	48663	+	585	4	2	2
PAOEAKHP_00053	contig_2_pilon	48714	49187	-	474	2	1	2
PAOEAKHP_00054	contig_2_pilon	49326	49661	-	336	4	2	1
PAOEAKHP_00055	contig_2_pilon	49892	50314	-	423	32	31	11
PAOEAKHP_00056	contig_2_pilon	50399	50770	-	372	24	11	15
PAOEAKHP_00057	contig_2_pilon	50861	51448	-	588	4	14	9
PAOEAKHP_00058	contig_2_pilon	51698	52123	+	426	13	19	30
PAOEAKHP_00059	contig_2_pilon	52162	52323	+	162	2	3	0
PAOEAKHP_00060	contig_2_pilon	53043	53390	+	348	0	2	0
PAOEAKHP_00061	contig_2_pilon	53372	55339	+	1968	76	67	52
PAOEAKHP_00062	contig_2_pilon	55342	55878	+	537	0	2	2
PAOEAKHP_00063	contig_2_pilon	55886	56155	+	270	14	10	4
PAOEAKHP_00064	contig_2_pilon	56301	56498	+	198	5	5	9
PAOEAKHP_00065	contig_2_pilon	56486	56788	-	303	2	2	0
PAOEAKHP_00066	contig_2_pilon	56933	57847	-	915	4	9	6
PAOEAKHP_00067	contig_2_pilon	57949	58782	+	834	13	21	10
PAOEAKHP_00068	contig_2_pilon	58957	60360	+	1404	14	22	14
PAOEAKHP_00069	contig_2_pilon	60369	60626	+	258	10	7	15
PAOEAKHP_00070	contig_2_pilon	60713	61249	-	537	12	2	5
PAOEAKHP_00071	contig_2_pilon	61333	61833	-	501	2	0	10
PAOEAKHP_00072	contig_2_pilon	61830	62774	-	945	2	7	15
PAOEAKHP_00073	contig_2_pilon	62800	63618	-	819	8	13	12
PAOEAKHP_00074	contig_2_pilon	63641	64432	-	792	6	0	0
PAOEAKHP_00075	contig_2_pilon	64413	65147	-	735	2	9	12
PAOEAKHP_00076	contig_2_pilon	65131	66654	-	1524	21	20	11
PAOEAKHP_00077	contig_2_pilon	67279	67836	-	558	29	39	30
PAOEAKHP_00078	contig_2_pilon	68510	68833	-	324	11	3	9
PAOEAKHP_00079	contig_2_pilon	68851	69186	-	336	42	8	21
PAOEAKHP_00080	contig_2_pilon	69317	70741	+	1425	11	14	34
PAOEAKHP_00081	contig_2_pilon	70802	71746	+	945	12	13	29
PAOEAKHP_00082	contig_2_pilon	71743	72090	+	348	1	0	6
PAOEAKHP_00083	contig_2_pilon	72090	72185	+	96	3	0	0
PAOEAKHP_00084	contig_2_pilon	72250	74094	-	1845	8	14	21
PAOEAKHP_00085	contig_2_pilon	74959	75162	+	204	23	23	22
PAOEAKHP_00086	contig_2_pilon	75511	76995	+	1485	15	17	31
PAOEAKHP_00087	contig_2_pilon	77042	77338	+	297	169	173	149
PAOEAKHP_00088	contig_2_pilon	77494	77802	+	309	168	111	158
PAOEAKHP_00089	contig_2_pilon	78061	78399	-	339	22	7	28
PAOEAKHP_00090	contig_2_pilon	79196	79585	+	390	28	42	32
PAOEAKHP_00091	contig_2_pilon	79922	80713	-	792	8	0	6
PAOEAKHP_00092	contig_2_pilon	80927	82090	+	1164	50	54	35
PAOEAKHP_00093	contig_2_pilon	82765	83544	+	780	8	0	4
PAOEAKHP_00094	contig_2_pilon	84442	85335	-	894	12	2	16
PAOEAKHP_00095	contig_2_pilon	85438	86526	+	1089	13	18	43
PAOEAKHP_00096	contig_2_pilon	87226	87831	-	606	439	374	478
PAOEAKHP_00097	contig_2_pilon	87834	88925	-	1092	156	124	140
PAOEAKHP_00098	contig_2_pilon	88927	89241	-	315	57	67	54
PAOEAKHP_00099	contig_2_pilon	90196	91419	-	1224	44	46	40
PAOEAKHP_00100	contig_2_pilon	91416	91682	-	267	20	19	39
PAOEAKHP_00101	contig_2_pilon	91723	92766	-	1044	142	174	182
PAOEAKHP_00102	contig_2_pilon	92959	95211	+	2253	46	8	35
PAOEAKHP_00103	contig_2_pilon	95211	96113	+	903	18	4	9
PAOEAKHP_00104	contig_2_pilon	96117	97010	-	894	130	112	141
PAOEAKHP_00105	contig_2_pilon	97394	98284	-	891	154	179	201
PAOEAKHP_00106	contig_2_pilon	98319	100862	-	2544	248	213	315
PAOEAKHP_00107	contig_2_pilon	100939	108228	-	7290	357	272	414
PAOEAKHP_00108	contig_2_pilon	108663	109586	+	924	15	56	37
PAOEAKHP_00109	contig_2_pilon	110338	110727	-	390	0	0	0
PAOEAKHP_00110	contig_2_pilon	111889	112275	-	387	0	5	0
PAOEAKHP_00111	contig_2_pilon	112799	112951	-	153	5	5	2
PAOEAKHP_00112	contig_2_pilon	112948	113211	-	264	25	2	11
PAOEAKHP_00113	contig_2_pilon	113370	113810	+	441	0	0	2
PAOEAKHP_00114	contig_2_pilon	114053	114391	+	339	0	0	0
PAOEAKHP_00115	contig_2_pilon	115541	116629	+	1089	7	12	6
PAOEAKHP_00116	contig_2_pilon	116820	117230	-	411	32	9	22
PAOEAKHP_00117	contig_2_pilon	117580	118914	+	1335	12	7	46
PAOEAKHP_00118	contig_2_pilon	119132	119719	-	588	363	376	457
PAOEAKHP_00119	contig_2_pilon	120098	120514	-	417	232	369	400
PAOEAKHP_00120	contig_2_pilon	120541	121371	-	831	587	549	776
PAOEAKHP_00121	contig_2_pilon	121593	122141	+	549	10	12	8
PAOEAKHP_00122	contig_2_pilon	122237	123529	-	1293	47	39	42
PAOEAKHP_00123	contig_2_pilon	123792	124736	-	945	29	3	15
PAOEAKHP_00124	contig_2_pilon	125063	125656	-	594	4	4	0
PAOEAKHP_00125	contig_2_pilon	126230	126856	-	627	8	13	26
PAOEAKHP_00126	contig_2_pilon	126844	127623	-	780	0	0	2
PAOEAKHP_00127	contig_2_pilon	127938	128762	+	825	71	81	53
PAOEAKHP_00129	contig_2_pilon	130441	131436	-	996	48	35	51
PAOEAKHP_00130	contig_2_pilon	131717	132577	-	861	64	46	71
PAOEAKHP_00131	contig_2_pilon	133069	134100	+	1032	65	63	54
PAOEAKHP_00132	contig_2_pilon	134173	134460	+	288	0	0	0
PAOEAKHP_00133	contig_2_pilon	134722	134997	-	276	2	9	6
PAOEAKHP_00134	contig_2_pilon	135007	135255	-	249	0	2	8
PAOEAKHP_00135	contig_2_pilon	135662	136114	+	453	12	0	18
PAOEAKHP_00136	contig_2_pilon	136184	136405	-	222	3	11	10
PAOEAKHP_00137	contig_2_pilon	136678	137370	+	693	0	0	2
PAOEAKHP_00138	contig_2_pilon	137679	137834	-	156	0	0	5
PAOEAKHP_00139	contig_2_pilon	138198	138923	+	726	83	111	76
PAOEAKHP_00140	contig_2_pilon	138943	139380	-	438	83	60	131
PAOEAKHP_00141	contig_2_pilon	139756	140001	-	246	5	1	1
PAOEAKHP_00142	contig_2_pilon	140648	140911	-	264	1	2	2
PAOEAKHP_00143	contig_2_pilon	141262	141576	+	315	0	0	0
PAOEAKHP_00144	contig_2_pilon	141845	142363	+	519	0	0	0
PAOEAKHP_00145	contig_2_pilon	142527	143516	-	990	85	83	100
PAOEAKHP_00146	contig_2_pilon	143797	144168	-	372	2	0	4
PAOEAKHP_00147	contig_2_pilon	144245	144709	-	465	0	0	2
PAOEAKHP_00148	contig_2_pilon	144901	146256	+	1356	136	161	233
PAOEAKHP_00149	contig_2_pilon	146386	147276	+	891	151	131	145
PAOEAKHP_00150	contig_2_pilon	147337	148581	+	1245	38	40	46
PAOEAKHP_00151	contig_2_pilon	148739	149434	+	696	0	4	7
PAOEAKHP_00152	contig_2_pilon	149522	149773	+	252	2	10	4
PAOEAKHP_00153	contig_2_pilon	149931	150731	-	801	0	6	8
PAOEAKHP_00154	contig_2_pilon	150855	151421	+	567	8	4	5
PAOEAKHP_00155	contig_2_pilon	151484	152020	-	537	2	2	0
PAOEAKHP_00156	contig_2_pilon	152096	153472	+	1377	2	5	2
PAOEAKHP_00157	contig_2_pilon	153541	154008	-	468	2	0	0
PAOEAKHP_00158	contig_2_pilon	154186	155049	-	864	16	20	14
PAOEAKHP_00159	contig_2_pilon	155108	155854	+	747	54	22	25
PAOEAKHP_00160	contig_2_pilon	156015	156620	-	606	49	44	25
PAOEAKHP_00161	contig_2_pilon	156842	157318	+	477	2	0	4
PAOEAKHP_00162	contig_2_pilon	157379	157954	-	576	0	3	6
PAOEAKHP_00163	contig_2_pilon	158070	158792	+	723	9	16	36
PAOEAKHP_00164	contig_2_pilon	159031	160494	-	1464	16	28	38
PAOEAKHP_00165	contig_2_pilon	160617	161150	+	534	6	6	2
PAOEAKHP_00166	contig_2_pilon	161242	162099	-	858	6	0	0
PAOEAKHP_00167	contig_2_pilon	162270	162590	-	321	0	0	1
PAOEAKHP_00168	contig_2_pilon	162658	163347	-	690	2	4	6
PAOEAKHP_00169	contig_2_pilon	163551	163805	-	255	42	16	40
PAOEAKHP_00170	contig_2_pilon	163915	164352	-	438	46	33	53
PAOEAKHP_00171	contig_2_pilon	164396	164980	+	585	10	6	6
PAOEAKHP_00172	contig_2_pilon	165194	167509	+	2316	69	35	69
PAOEAKHP_00173	contig_2_pilon	168285	169820	-	1536	116	108	107
PAOEAKHP_00174	contig_2_pilon	169934	170461	-	528	14	2	2
PAOEAKHP_00175	contig_2_pilon	170810	174184	+	3375	18	30	8
PAOEAKHP_00176	contig_2_pilon	174252	174650	+	399	0	0	0
PAOEAKHP_00177	contig_2_pilon	174901	175191	-	291	8	9	20
PAOEAKHP_00178	contig_2_pilon	175369	176235	-	867	52	112	126
PAOEAKHP_00179	contig_2_pilon	176378	177307	+	930	13	12	8
PAOEAKHP_00180	contig_2_pilon	177340	177933	-	594	4	22	9
PAOEAKHP_00181	contig_2_pilon	178100	178897	-	798	49	70	67
PAOEAKHP_00182	contig_2_pilon	179027	180061	-	1035	157	130	195
PAOEAKHP_00183	contig_2_pilon	180169	181065	+	897	4	2	4
PAOEAKHP_00184	contig_2_pilon	181084	182130	-	1047	8	0	2
PAOEAKHP_00185	contig_2_pilon	182297	183445	-	1149	22	12	22
PAOEAKHP_00186	contig_2_pilon	183818	185158	-	1341	40	62	40
PAOEAKHP_00187	contig_2_pilon	185638	186639	+	1002	1047	990	1147
PAOEAKHP_00188	contig_2_pilon	186780	188150	-	1371	527	439	462
PAOEAKHP_00189	contig_2_pilon	188324	189154	-	831	19	46	29
PAOEAKHP_00190	contig_2_pilon	189510	190427	-	918	1178	991	1242
PAOEAKHP_00191	contig_2_pilon	190470	190931	-	462	27	54	35
PAOEAKHP_00192	contig_2_pilon	191125	191508	+	384	19	13	10
PAOEAKHP_00193	contig_2_pilon	191511	192623	+	1113	4	4	9
PAOEAKHP_00194	contig_2_pilon	192640	193626	-	987	154	184	147
PAOEAKHP_00195	contig_2_pilon	193875	195314	+	1440	18	2	5
PAOEAKHP_00196	contig_2_pilon	195693	195875	+	183	1	1	3
PAOEAKHP_00197	contig_2_pilon	195927	196397	-	471	6	2	14
PAOEAKHP_00198	contig_2_pilon	196541	197125	-	585	194	134	206
PAOEAKHP_00199	contig_2_pilon	197326	197700	-	375	1007	1083	1203
PAOEAKHP_00200	contig_2_pilon	198413	199348	-	936	30	24	74
PAOEAKHP_00201	contig_2_pilon	199449	200267	+	819	4	0	3
PAOEAKHP_00202	contig_2_pilon	200399	201412	+	1014	0	4	4
PAOEAKHP_00203	contig_2_pilon	201484	201882	+	399	4	3	6
PAOEAKHP_00204	contig_2_pilon	201994	202878	+	885	4	2	0
PAOEAKHP_00205	contig_2_pilon	202979	204037	+	1059	0	6	12
PAOEAKHP_00206	contig_2_pilon	204118	205485	+	1368	2	10	2
PAOEAKHP_00207	contig_2_pilon	205533	205937	+	405	0	5	4
PAOEAKHP_00208	contig_2_pilon	206185	206757	-	573	14	34	27
PAOEAKHP_00209	contig_2_pilon	207168	208139	-	972	41	33	45
PAOEAKHP_00210	contig_2_pilon	208336	209139	+	804	18	29	10
PAOEAKHP_00211	contig_2_pilon	209139	210407	+	1269	6	8	14
PAOEAKHP_00212	contig_2_pilon	210445	210783	+	339	69	43	29
PAOEAKHP_00213	contig_2_pilon	210945	211379	+	435	96	115	134
PAOEAKHP_00214	contig_2_pilon	211549	212424	+	876	161	190	223
PAOEAKHP_00215	contig_2_pilon	212417	214183	+	1767	439	479	483
PAOEAKHP_00216	contig_2_pilon	214282	216252	+	1971	261	304	322
PAOEAKHP_00217	contig_2_pilon	216873	217457	-	585	41	63	90
PAOEAKHP_00218	contig_2_pilon	217519	218145	-	627	36	120	68
PAOEAKHP_00219	contig_2_pilon	218142	219182	-	1041	135	141	147
PAOEAKHP_00220	contig_2_pilon	219179	220078	-	900	175	210	196
PAOEAKHP_00221	contig_2_pilon	220707	222089	+	1383	62	19	71
PAOEAKHP_00222	contig_2_pilon	222098	223216	+	1119	1347	1067	1150
PAOEAKHP_00223	contig_2_pilon	223326	224603	-	1278	151	128	191
PAOEAKHP_00224	contig_2_pilon	224578	225273	-	696	0	0	3
PAOEAKHP_00225	contig_2_pilon	225420	225911	+	492	0	0	0
PAOEAKHP_00226	contig_2_pilon	225892	226071	+	180	3	0	0
PAOEAKHP_00227	contig_2_pilon	226308	226850	-	543	34	48	53
PAOEAKHP_00228	contig_2_pilon	227105	227866	+	762	5583	5638	6023
PAOEAKHP_00229	contig_2_pilon	228513	229322	+	810	33	27	41
PAOEAKHP_00230	contig_2_pilon	229384	230685	-	1302	0	2	8
PAOEAKHP_00231	contig_2_pilon	230682	230936	-	255	0	0	0
PAOEAKHP_00232	contig_2_pilon	231113	232639	+	1527	0	2	4
PAOEAKHP_00233	contig_2_pilon	232669	233736	-	1068	0	0	16
PAOEAKHP_00234	contig_2_pilon	233752	234837	-	1086	0	2	6
PAOEAKHP_00235	contig_2_pilon	234881	235921	-	1041	0	0	4
PAOEAKHP_00236	contig_2_pilon	235918	238440	-	2523	10	8	4
PAOEAKHP_00237	contig_2_pilon	238529	238747	-	219	0	0	0
PAOEAKHP_00238	contig_2_pilon	238817	252055	-	13239	84	103	75
PAOEAKHP_00239	contig_2_pilon	252726	274772	-	22047	3706	3428	4198
PAOEAKHP_00240	contig_2_pilon	275946	277178	+	1233	648	361	1040
PAOEAKHP_00241	contig_2_pilon	277328	277954	+	627	39	24	39
PAOEAKHP_00242	contig_2_pilon	278080	279246	-	1167	75	54	91
PAOEAKHP_00243	contig_2_pilon	279392	280825	-	1434	476	539	683
PAOEAKHP_00244	contig_2_pilon	280822	282183	-	1362	306	323	233
PAOEAKHP_00245	contig_2_pilon	282168	283373	-	1206	90	34	164
PAOEAKHP_00246	contig_2_pilon	283465	284511	-	1047	6	2	4
PAOEAKHP_00247	contig_2_pilon	284508	286091	-	1584	20	2	10
PAOEAKHP_00248	contig_2_pilon	286072	286698	-	627	187	165	249
PAOEAKHP_00249	contig_2_pilon	286832	288166	+	1335	27	20	21
PAOEAKHP_00250	contig_2_pilon	288102	288914	-	813	4	3	0
PAOEAKHP_00251	contig_2_pilon	289142	290410	+	1269	16	23	9
PAOEAKHP_00252	contig_2_pilon	290625	291065	-	441	40	62	52
PAOEAKHP_00253	contig_2_pilon	291311	292186	+	876	72	99	71
PAOEAKHP_00254	contig_2_pilon	292953	293099	+	147	0	0	0
PAOEAKHP_00255	contig_2_pilon	293241	294017	+	777	84	86	97
PAOEAKHP_00256	contig_2_pilon	294158	294982	-	825	61	61	60
PAOEAKHP_00257	contig_2_pilon	295204	296166	-	963	253	214	175
PAOEAKHP_00258	contig_2_pilon	296298	296951	+	654	0	13	4
PAOEAKHP_00259	contig_2_pilon	297294	297914	-	621	173	173	183
PAOEAKHP_00260	contig_2_pilon	298014	298427	-	414	61	34	70
PAOEAKHP_00261	contig_2_pilon	298909	299472	+	564	10	27	15
PAOEAKHP_00262	contig_2_pilon	299625	300041	+	417	5	17	7
PAOEAKHP_00263	contig_2_pilon	300073	300450	-	378	87	118	132
PAOEAKHP_00264	contig_2_pilon	300852	301241	-	390	21	12	27
PAOEAKHP_00265	contig_2_pilon	301398	301709	-	312	21	10	1
PAOEAKHP_00266	contig_2_pilon	301798	303546	-	1749	3	18	18
PAOEAKHP_00267	contig_2_pilon	303643	304200	-	558	0	0	2
PAOEAKHP_00268	contig_2_pilon	304389	304790	+	402	0	0	2
PAOEAKHP_00269	contig_2_pilon	304849	306063	-	1215	4	23	19
PAOEAKHP_00270	contig_2_pilon	306113	307342	-	1230	101	111	76
PAOEAKHP_00271	contig_2_pilon	307339	307578	-	240	0	0	0
PAOEAKHP_00272	contig_2_pilon	307928	310213	-	2286	6	12	16
PAOEAKHP_00273	contig_2_pilon	310421	311206	+	786	17	27	39
PAOEAKHP_00274	contig_2_pilon	311278	312057	+	780	298	332	387
PAOEAKHP_00275	contig_2_pilon	312143	312559	+	417	214	255	261
PAOEAKHP_00276	contig_2_pilon	312525	312737	-	213	2	1	13
PAOEAKHP_00277	contig_2_pilon	312759	313706	-	948	54	37	37
PAOEAKHP_00278	contig_2_pilon	314050	314580	+	531	340	296	308
PAOEAKHP_00279	contig_2_pilon	314570	315535	-	966	15	0	30
PAOEAKHP_00280	contig_2_pilon	315730	316872	+	1143	59	64	43
PAOEAKHP_00281	contig_2_pilon	317151	317780	+	630	14	8	14
PAOEAKHP_00282	contig_2_pilon	317807	318910	-	1104	92	65	79
PAOEAKHP_00283	contig_2_pilon	319057	319404	+	348	5	3	3
PAOEAKHP_00284	contig_2_pilon	319534	320127	+	594	1153	1225	1202
PAOEAKHP_00285	contig_2_pilon	320124	320960	+	837	635	458	415
PAOEAKHP_00286	contig_2_pilon	321022	321288	-	267	4	28	26
PAOEAKHP_00287	contig_2_pilon	321341	322246	-	906	117	87	128
PAOEAKHP_00288	contig_2_pilon	322472	322903	-	432	33	26	45
PAOEAKHP_00289	contig_2_pilon	322993	323244	-	252	26	17	30
PAOEAKHP_00290	contig_2_pilon	323337	324170	-	834	6586	6250	10688
PAOEAKHP_00291	contig_2_pilon	324167	325120	-	954	3911	4189	4308
PAOEAKHP_00292	contig_2_pilon	325180	329589	-	4410	918	811	918
PAOEAKHP_00293	contig_2_pilon	329574	337109	-	7536	907	834	999
PAOEAKHP_00294	contig_2_pilon	337097	347980	-	10884	1882	2104	2247
PAOEAKHP_00295	contig_2_pilon	348140	349345	-	1206	742	668	877
PAOEAKHP_00296	contig_2_pilon	349357	350010	-	654	178	229	217
PAOEAKHP_00297	contig_2_pilon	350183	350710	+	528	85	76	87
PAOEAKHP_00298	contig_2_pilon	351173	353221	+	2049	43	21	38
PAOEAKHP_00299	contig_2_pilon	353297	354574	-	1278	26	7	14
PAOEAKHP_00300	contig_2_pilon	354720	355853	-	1134	19	17	26
PAOEAKHP_00301	contig_2_pilon	356049	357800	-	1752	20	31	34
PAOEAKHP_00302	contig_2_pilon	357913	359112	+	1200	4	3	3
PAOEAKHP_00303	contig_2_pilon	359136	360755	+	1620	6	6	16
PAOEAKHP_00304	contig_2_pilon	361016	361750	+	735	20	56	147
PAOEAKHP_00305	contig_2_pilon	361846	362364	+	519	21	23	70
PAOEAKHP_00306	contig_2_pilon	362440	362727	-	288	0	0	0
PAOEAKHP_00307	contig_2_pilon	363035	363646	+	612	8	13	55
PAOEAKHP_00308	contig_2_pilon	363665	364660	-	996	0	0	2
PAOEAKHP_00309	contig_2_pilon	364706	365836	+	1131	25	12	64
PAOEAKHP_00310	contig_2_pilon	365833	366897	+	1065	40	28	93
PAOEAKHP_00311	contig_2_pilon	366797	367900	-	1104	0	0	4
PAOEAKHP_00312	contig_2_pilon	368046	369353	-	1308	12	4	10
PAOEAKHP_00313	contig_2_pilon	369580	370881	-	1302	18	6	24
PAOEAKHP_00314	contig_2_pilon	370892	371416	-	525	0	1	0
PAOEAKHP_00315	contig_2_pilon	371731	373218	-	1488	6	4	0
PAOEAKHP_00316	contig_2_pilon	373244	373765	+	522	13	8	27
PAOEAKHP_00317	contig_2_pilon	373829	376768	-	2940	0	2	20
PAOEAKHP_00318	contig_2_pilon	376765	377973	-	1209	0	0	4
PAOEAKHP_00319	contig_2_pilon	377986	378753	-	768	6	0	10
PAOEAKHP_00320	contig_2_pilon	378809	380521	-	1713	43	31	21
PAOEAKHP_00321	contig_2_pilon	380518	380757	-	240	25	43	76
PAOEAKHP_00322	contig_2_pilon	380855	381919	-	1065	56	64	56
PAOEAKHP_00323	contig_2_pilon	381954	383216	-	1263	11	0	6
PAOEAKHP_00324	contig_2_pilon	383324	384280	-	957	17	8	5
PAOEAKHP_00325	contig_2_pilon	384486	385337	+	852	0	1	0
PAOEAKHP_00326	contig_2_pilon	385454	387055	-	1602	16	12	16
PAOEAKHP_00327	contig_2_pilon	387394	388128	+	735	0	3	10
PAOEAKHP_00328	contig_2_pilon	388193	389428	-	1236	0	0	1
PAOEAKHP_00329	contig_2_pilon	389652	390989	-	1338	56	41	52
PAOEAKHP_00330	contig_2_pilon	391119	392027	-	909	10	4	6
PAOEAKHP_00331	contig_2_pilon	392098	393153	-	1056	14	21	11
PAOEAKHP_00332	contig_2_pilon	393304	394200	-	897	8	4	10
PAOEAKHP_00333	contig_2_pilon	394175	394996	-	822	2	0	5
PAOEAKHP_00334	contig_2_pilon	395218	395820	+	603	6	0	0
PAOEAKHP_00335	contig_2_pilon	395838	397028	+	1191	66	36	49
PAOEAKHP_00336	contig_2_pilon	397039	398154	-	1116	3542	3142	3271
PAOEAKHP_00337	contig_2_pilon	398235	398696	+	462	45	19	62
PAOEAKHP_00338	contig_2_pilon	398684	399481	-	798	909	863	788
PAOEAKHP_00339	contig_2_pilon	399722	400192	+	471	34	28	40
PAOEAKHP_00340	contig_2_pilon	400472	401008	-	537	1	0	4
PAOEAKHP_00341	contig_2_pilon	401191	401979	-	789	46	63	54
PAOEAKHP_00342	contig_2_pilon	402439	403257	+	819	2	12	2
PAOEAKHP_00343	contig_2_pilon	403254	403988	+	735	0	0	2
PAOEAKHP_00344	contig_2_pilon	403988	404140	+	153	8	0	0
PAOEAKHP_00345	contig_2_pilon	404319	404516	+	198	0	6	2
PAOEAKHP_00346	contig_2_pilon	404610	405839	+	1230	14	14	8
PAOEAKHP_00347	contig_2_pilon	406376	408994	-	2619	23	28	73
PAOEAKHP_00348	contig_2_pilon	409464	410033	+	570	0	2	6
PAOEAKHP_00349	contig_2_pilon	410088	411278	+	1191	10	0	6
PAOEAKHP_00350	contig_2_pilon	411298	412443	-	1146	84	107	97
PAOEAKHP_00351	contig_2_pilon	412494	413168	-	675	85	88	66
PAOEAKHP_00352	contig_2_pilon	413279	414097	+	819	16	0	6
PAOEAKHP_00353	contig_2_pilon	414105	414920	-	816	131	144	162
PAOEAKHP_00354	contig_2_pilon	414917	415945	-	1029	1066	997	1031
PAOEAKHP_00355	contig_2_pilon	416078	417052	-	975	1157	1094	1258
PAOEAKHP_00356	contig_2_pilon	417165	418034	+	870	18	6	21
PAOEAKHP_00357	contig_2_pilon	418049	418573	-	525	580	517	641
PAOEAKHP_00358	contig_2_pilon	418651	419583	-	933	1180	879	1142
PAOEAKHP_00359	contig_2_pilon	419952	422660	+	2709	176	232	334
PAOEAKHP_00360	contig_2_pilon	422707	423207	-	501	76	37	42
PAOEAKHP_00361	contig_2_pilon	423440	424069	+	630	0	0	4
