# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "assembly/HP126.gff" "-t" "CDS" "-g" "ID" "-o" "HP126/featureCount_HP126.txt" "HP126/HP126_rep1_rna_map.sorted.bam" "HP126/HP126_rep2_rna_map.sorted.bam" "HP126/HP126_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	HP126/HP126_rep1_rna_map.sorted.bam	HP126/HP126_rep2_rna_map.sorted.bam	HP126/HP126_rep3_rna_map.sorted.bam
GIOHHFHI_00032	contig_1_pilon	31940	32176	-	237	0	0	6
GIOHHFHI_00033	contig_1_pilon	32303	32476	-	174	10	0	2
GIOHHFHI_00034	contig_1_pilon	32645	33628	-	984	4	6	22
GIOHHFHI_00035	contig_1_pilon	33867	34334	+	468	2	0	0
GIOHHFHI_00036	contig_1_pilon	34337	34624	+	288	0	4	0
GIOHHFHI_00037	contig_1_pilon	34654	35340	-	687	30	31	31
GIOHHFHI_00038	contig_1_pilon	35402	36751	-	1350	80	61	81
GIOHHFHI_00039	contig_1_pilon	36741	37421	-	681	35	42	31
GIOHHFHI_00040	contig_1_pilon	37574	39067	-	1494	12	4	0
GIOHHFHI_00041	contig_1_pilon	39300	39653	+	354	7	12	29
GIOHHFHI_00042	contig_1_pilon	39658	40641	-	984	4	12	14
GIOHHFHI_00043	contig_1_pilon	40991	42085	-	1095	48	38	57
GIOHHFHI_00044	contig_1_pilon	42552	43469	-	918	22	14	38
GIOHHFHI_00045	contig_1_pilon	43493	44401	-	909	17	14	42
GIOHHFHI_00046	contig_1_pilon	45295	46287	+	993	220	169	156
GIOHHFHI_00047	contig_1_pilon	46883	47164	+	282	5	6	21
GIOHHFHI_00048	contig_1_pilon	47405	47728	+	324	700	504	473
GIOHHFHI_00049	contig_1_pilon	48158	48631	-	474	8	2	6
GIOHHFHI_00050	contig_1_pilon	48748	49125	+	378	22	61	12
GIOHHFHI_00051	contig_1_pilon	49122	50243	+	1122	10	28	27
GIOHHFHI_00052	contig_1_pilon	50236	50730	+	495	24	14	20
GIOHHFHI_00053	contig_1_pilon	50802	52085	-	1284	535	471	600
GIOHHFHI_00054	contig_1_pilon	52375	53211	+	837	67	70	84
GIOHHFHI_00055	contig_1_pilon	53225	54163	-	939	2	2	12
GIOHHFHI_00056	contig_1_pilon	54298	55305	+	1008	19	11	6
GIOHHFHI_00057	contig_1_pilon	55381	57342	-	1962	17	30	20
GIOHHFHI_00058	contig_1_pilon	57347	57763	-	417	6	3	5
GIOHHFHI_00059	contig_1_pilon	57809	58066	-	258	6	8	23
GIOHHFHI_00060	contig_1_pilon	58089	59945	-	1857	66	73	64
GIOHHFHI_00061	contig_1_pilon	60091	60198	-	108	75	67	63
GIOHHFHI_00062	contig_1_pilon	60254	60352	+	99	2	6	0
GIOHHFHI_00063	contig_1_pilon	60571	61320	+	750	52	63	64
GIOHHFHI_00064	contig_1_pilon	61375	61974	-	600	30	33	24
GIOHHFHI_00065	contig_1_pilon	62071	63315	-	1245	22	18	61
GIOHHFHI_00066	contig_1_pilon	63558	64448	+	891	115	103	131
GIOHHFHI_00067	contig_1_pilon	64421	64891	-	471	0	11	15
GIOHHFHI_00068	contig_1_pilon	64879	65895	-	1017	8	6	9
GIOHHFHI_00069	contig_1_pilon	66009	66791	-	783	14	12	5
GIOHHFHI_00070	contig_1_pilon	66923	67294	+	372	22	41	32
GIOHHFHI_00071	contig_1_pilon	67443	67763	+	321	6	7	9
GIOHHFHI_00072	contig_1_pilon	68640	71738	-	3099	559	671	534
GIOHHFHI_00073	contig_1_pilon	71905	73659	-	1755	439	392	257
GIOHHFHI_00074	contig_1_pilon	73928	74956	+	1029	56	22	39
GIOHHFHI_00075	contig_1_pilon	74953	75771	+	819	9	4	2
GIOHHFHI_00076	contig_1_pilon	76320	77939	+	1620	29	14	48
GIOHHFHI_00077	contig_1_pilon	78399	79160	-	762	446	394	379
GIOHHFHI_00078	contig_1_pilon	79574	83263	+	3690	1092	1200	1424
GIOHHFHI_00079	contig_1_pilon	83265	84905	+	1641	320	480	651
GIOHHFHI_00080	contig_1_pilon	84902	85528	+	627	51	37	53
GIOHHFHI_00081	contig_1_pilon	85525	86331	+	807	112	177	209
GIOHHFHI_00082	contig_1_pilon	86331	87263	+	933	24	43	30
GIOHHFHI_00083	contig_1_pilon	87642	88925	+	1284	18	23	35
GIOHHFHI_00084	contig_1_pilon	89059	90657	+	1599	9	13	9
GIOHHFHI_00085	contig_1_pilon	90654	91523	+	870	6	6	4
GIOHHFHI_00086	contig_1_pilon	91589	92728	-	1140	61	72	159
GIOHHFHI_00087	contig_1_pilon	92779	93684	-	906	54	45	116
GIOHHFHI_00088	contig_1_pilon	93684	95192	-	1509	175	197	352
GIOHHFHI_00089	contig_1_pilon	95395	96837	+	1443	11	4	16
GIOHHFHI_00090	contig_1_pilon	97033	97602	+	570	28	24	39
GIOHHFHI_00091	contig_1_pilon	97599	98597	+	999	0	18	4
GIOHHFHI_00092	contig_1_pilon	98594	100822	+	2229	8	59	30
GIOHHFHI_00093	contig_1_pilon	101060	101269	+	210	10	32	25
GIOHHFHI_00094	contig_1_pilon	101284	102039	-	756	1942	2182	2513
GIOHHFHI_00095	contig_1_pilon	102303	103994	-	1692	2288	2270	3024
GIOHHFHI_00096	contig_1_pilon	104134	104631	+	498	39	39	31
GIOHHFHI_00097	contig_1_pilon	104776	106053	+	1278	3922	3704	5625
GIOHHFHI_00098	contig_1_pilon	106050	107318	+	1269	1124	1179	2200
GIOHHFHI_00099	contig_1_pilon	107394	107681	+	288	435	448	1150
GIOHHFHI_00100	contig_1_pilon	107692	109530	+	1839	1343	1368	2830
GIOHHFHI_00101	contig_1_pilon	109527	110783	+	1257	794	655	1073
GIOHHFHI_00102	contig_1_pilon	110847	111884	-	1038	4957	5134	7962
GIOHHFHI_00103	contig_1_pilon	111937	113871	-	1935	4569	4796	10027
GIOHHFHI_00104	contig_1_pilon	113910	114362	-	453	1815	1642	3052
GIOHHFHI_00105	contig_1_pilon	114631	115422	+	792	4311	4737	7511
GIOHHFHI_00106	contig_1_pilon	115481	116434	+	954	2417	2774	5704
GIOHHFHI_00107	contig_1_pilon	116424	118097	+	1674	1768	1824	3508
GIOHHFHI_00108	contig_1_pilon	118115	118873	+	759	1670	1829	3036
GIOHHFHI_00109	contig_1_pilon	118893	119666	+	774	1680	1866	3584
GIOHHFHI_00110	contig_1_pilon	119796	120833	+	1038	254	258	400
GIOHHFHI_00111	contig_1_pilon	120851	121873	-	1023	800	791	1182
GIOHHFHI_00112	contig_1_pilon	121870	122949	-	1080	2229	2246	4085
GIOHHFHI_00113	contig_1_pilon	122946	123374	-	429	3720	3031	5614
GIOHHFHI_00114	contig_1_pilon	123530	125041	+	1512	2501	2691	5016
GIOHHFHI_00115	contig_1_pilon	125102	126136	+	1035	2955	3075	5283
GIOHHFHI_00116	contig_1_pilon	126295	128280	+	1986	3344	2913	4560
GIOHHFHI_00117	contig_1_pilon	128338	129051	-	714	5982	5314	6075
GIOHHFHI_00118	contig_1_pilon	129644	130459	+	816	403	385	443
GIOHHFHI_00119	contig_1_pilon	130487	131392	-	906	562	508	467
GIOHHFHI_00120	contig_1_pilon	131483	131725	-	243	175	132	214
GIOHHFHI_00121	contig_1_pilon	131921	132415	+	495	15	35	36
GIOHHFHI_00122	contig_1_pilon	132495	133088	+	594	35	39	35
GIOHHFHI_00123	contig_1_pilon	133130	134380	-	1251	1379	1409	1217
GIOHHFHI_00124	contig_1_pilon	134597	135469	-	873	191	294	455
GIOHHFHI_00125	contig_1_pilon	135506	136567	-	1062	87	139	300
GIOHHFHI_00126	contig_1_pilon	136584	138038	-	1455	180	167	352
GIOHHFHI_00127	contig_1_pilon	138687	139130	-	444	27	24	32
GIOHHFHI_00128	contig_1_pilon	139281	139808	-	528	6	2	0
GIOHHFHI_00129	contig_1_pilon	139866	140339	+	474	7	18	20
GIOHHFHI_00130	contig_1_pilon	141543	142430	-	888	20	49	66
GIOHHFHI_00131	contig_1_pilon	142795	143277	-	483	0	6	0
GIOHHFHI_00132	contig_1_pilon	143378	145468	-	2091	34	28	35
GIOHHFHI_00133	contig_1_pilon	146112	147398	-	1287	43	40	34
GIOHHFHI_00134	contig_1_pilon	147591	148037	+	447	60	126	66
GIOHHFHI_00135	contig_1_pilon	148181	148849	+	669	4	26	16
GIOHHFHI_00136	contig_1_pilon	148846	151413	-	2568	2	11	22
GIOHHFHI_00137	contig_1_pilon	151406	154924	-	3519	22	8	6
GIOHHFHI_00138	contig_1_pilon	155021	155860	-	840	11	2	7
GIOHHFHI_00139	contig_1_pilon	155860	157161	-	1302	17	16	8
GIOHHFHI_00140	contig_1_pilon	157130	158557	-	1428	10	6	2
GIOHHFHI_00141	contig_1_pilon	158611	159384	-	774	0	4	7
GIOHHFHI_00142	contig_1_pilon	160243	160767	+	525	111	66	79
GIOHHFHI_00143	contig_1_pilon	161177	161359	+	183	7	6	13
GIOHHFHI_00144	contig_1_pilon	161602	162480	-	879	319	291	397
GIOHHFHI_00145	contig_1_pilon	162477	162611	-	135	23	25	56
GIOHHFHI_00146	contig_1_pilon	163286	163681	-	396	176	109	102
GIOHHFHI_00147	contig_1_pilon	163772	165745	+	1974	2770	2526	2503
GIOHHFHI_00148	contig_1_pilon	166259	166597	+	339	262	251	191
GIOHHFHI_00149	contig_1_pilon	167150	168094	-	945	66	43	84
GIOHHFHI_00150	contig_1_pilon	168544	169011	-	468	229	265	184
GIOHHFHI_00151	contig_1_pilon	169243	169755	-	513	7	12	23
GIOHHFHI_00152	contig_1_pilon	170381	170656	+	276	53	37	23
GIOHHFHI_00153	contig_1_pilon	170672	171400	-	729	15	10	11
GIOHHFHI_00154	contig_1_pilon	172376	172540	+	165	13	13	9
GIOHHFHI_00155	contig_1_pilon	172562	173632	+	1071	6	45	26
GIOHHFHI_00156	contig_1_pilon	174004	174786	-	783	231	243	531
GIOHHFHI_00157	contig_1_pilon	175315	175515	-	201	11	7	8
GIOHHFHI_00158	contig_1_pilon	176145	176774	+	630	10	6	17
GIOHHFHI_00159	contig_1_pilon	177127	177840	+	714	91	90	101
GIOHHFHI_00160	contig_1_pilon	178347	178442	-	96	45	29	17
GIOHHFHI_00161	contig_1_pilon	178491	179093	+	603	11	16	4
GIOHHFHI_00162	contig_1_pilon	179675	179893	-	219	2	1	1
GIOHHFHI_00163	contig_1_pilon	179901	180140	-	240	7	4	9
GIOHHFHI_00164	contig_1_pilon	180261	180389	+	129	22	10	23
GIOHHFHI_00165	contig_1_pilon	180829	181521	-	693	398	512	961
GIOHHFHI_00166	contig_1_pilon	181619	182347	-	729	1077	1235	1919
GIOHHFHI_00167	contig_1_pilon	182344	183111	-	768	382	407	436
GIOHHFHI_00168	contig_1_pilon	183446	184174	+	729	37	40	58
GIOHHFHI_00169	contig_1_pilon	184602	184949	+	348	28	65	35
GIOHHFHI_00170	contig_1_pilon	184942	185937	+	996	40	15	22
GIOHHFHI_00171	contig_1_pilon	186736	187218	-	483	87	86	45
GIOHHFHI_00172	contig_1_pilon	188953	189333	+	381	503	485	497
GIOHHFHI_00173	contig_1_pilon	189562	191004	+	1443	182	187	219
GIOHHFHI_00174	contig_1_pilon	191100	191273	+	174	40	47	53
GIOHHFHI_00175	contig_1_pilon	191466	191654	-	189	19	11	20
GIOHHFHI_00176	contig_1_pilon	192165	193001	-	837	477	446	485
GIOHHFHI_00177	contig_1_pilon	193713	194864	+	1152	62	60	65
GIOHHFHI_00178	contig_1_pilon	194883	196025	+	1143	45	37	62
GIOHHFHI_00179	contig_1_pilon	196146	196700	+	555	467	488	448
GIOHHFHI_00180	contig_1_pilon	196866	197249	+	384	38	35	95
GIOHHFHI_00181	contig_1_pilon	197246	197704	+	459	61	83	109
GIOHHFHI_00182	contig_1_pilon	197821	198819	+	999	84	66	143
GIOHHFHI_00183	contig_1_pilon	198852	198998	-	147	0	0	0
GIOHHFHI_00184	contig_1_pilon	199036	199284	-	249	0	0	0
GIOHHFHI_00185	contig_1_pilon	199611	200198	+	588	191	159	199
GIOHHFHI_00186	contig_1_pilon	200356	200760	+	405	0	18	15
GIOHHFHI_00187	contig_1_pilon	200775	201155	-	381	7	0	9
GIOHHFHI_00188	contig_1_pilon	201302	201856	+	555	28	18	22
GIOHHFHI_00189	contig_1_pilon	202012	202323	+	312	0	0	4
GIOHHFHI_00190	contig_1_pilon	202626	202904	-	279	64	49	102
GIOHHFHI_00191	contig_1_pilon	202912	203478	-	567	302	207	259
GIOHHFHI_00192	contig_1_pilon	203866	204336	+	471	1049	1109	833
GIOHHFHI_00193	contig_1_pilon	205436	207226	+	1791	1184	1173	1739
GIOHHFHI_00194	contig_1_pilon	207375	208577	+	1203	71	86	101
GIOHHFHI_00195	contig_1_pilon	208787	209341	+	555	80	58	45
GIOHHFHI_00196	contig_1_pilon	209726	210463	+	738	119	86	131
GIOHHFHI_00197	contig_1_pilon	211144	211851	-	708	93	59	88
GIOHHFHI_00198	contig_1_pilon	211908	212543	-	636	55	111	71
GIOHHFHI_00199	contig_1_pilon	213152	213589	+	438	78	102	117
GIOHHFHI_00200	contig_1_pilon	214324	214809	-	486	445	371	299
GIOHHFHI_00201	contig_1_pilon	215010	215192	-	183	0	2	0
GIOHHFHI_00202	contig_1_pilon	215219	215494	+	276	8	4	9
GIOHHFHI_00203	contig_1_pilon	216067	217452	-	1386	12	30	9
GIOHHFHI_00204	contig_1_pilon	219236	220390	+	1155	34	51	81
GIOHHFHI_00205	contig_1_pilon	220784	221356	-	573	135	173	194
GIOHHFHI_00206	contig_1_pilon	221457	223031	-	1575	64	92	121
GIOHHFHI_00207	contig_1_pilon	223096	223257	-	162	12	33	23
GIOHHFHI_00208	contig_1_pilon	223500	224837	+	1338	284	240	307
GIOHHFHI_00209	contig_1_pilon	224970	225512	+	543	501	421	315
GIOHHFHI_00210	contig_1_pilon	225509	226831	-	1323	166	184	161
GIOHHFHI_00211	contig_1_pilon	226981	227901	+	921	24	9	5
GIOHHFHI_00212	contig_1_pilon	227995	228231	+	237	10	5	4
GIOHHFHI_00213	contig_1_pilon	228231	228734	+	504	0	0	0
GIOHHFHI_00214	contig_1_pilon	228731	229150	+	420	0	3	1
GIOHHFHI_00215	contig_1_pilon	229209	229685	+	477	2	10	1
GIOHHFHI_00216	contig_1_pilon	229689	230303	+	615	2	0	2
GIOHHFHI_00217	contig_1_pilon	230573	230815	+	243	0	0	0
GIOHHFHI_00218	contig_1_pilon	230806	231843	+	1038	2	4	12
GIOHHFHI_00219	contig_1_pilon	231852	232376	+	525	2	9	4
GIOHHFHI_00220	contig_1_pilon	232373	233044	+	672	19	5	14
GIOHHFHI_00221	contig_1_pilon	233142	234719	+	1578	34	66	45
GIOHHFHI_00222	contig_1_pilon	234752	234883	+	132	2	3	0
GIOHHFHI_00223	contig_1_pilon	234968	235198	+	231	4	2	10
GIOHHFHI_00224	contig_1_pilon	235245	236486	-	1242	5	2	4
GIOHHFHI_00225	contig_1_pilon	236773	237621	-	849	22	23	6
GIOHHFHI_00226	contig_1_pilon	237880	238089	+	210	4	1	6
GIOHHFHI_00227	contig_1_pilon	238035	238310	+	276	43	76	53
GIOHHFHI_00228	contig_1_pilon	238492	239181	+	690	261	287	182
GIOHHFHI_00229	contig_1_pilon	239688	240311	-	624	121	91	75
GIOHHFHI_00230	contig_1_pilon	240589	241950	-	1362	578	432	338
GIOHHFHI_00231	contig_1_pilon	242849	242995	+	147	1	0	0
GIOHHFHI_00232	contig_1_pilon	242992	243882	+	891	2	4	1
GIOHHFHI_00233	contig_1_pilon	243890	244597	+	708	0	0	0
GIOHHFHI_00234	contig_1_pilon	244750	245391	+	642	0	0	2
GIOHHFHI_00235	contig_1_pilon	245388	246944	+	1557	0	13	10
GIOHHFHI_00236	contig_1_pilon	246941	247132	+	192	4	1	0
GIOHHFHI_00237	contig_1_pilon	247224	247457	+	234	2	14	1
GIOHHFHI_00238	contig_1_pilon	247592	248089	+	498	0	4	5
GIOHHFHI_00239	contig_1_pilon	248349	250067	+	1719	24	18	18
GIOHHFHI_00240	contig_1_pilon	250196	250597	+	402	85	103	120
GIOHHFHI_00241	contig_1_pilon	250676	251368	+	693	79	78	74
GIOHHFHI_00242	contig_1_pilon	251475	251759	-	285	63	20	28
GIOHHFHI_00243	contig_1_pilon	252513	252635	+	123	28	21	49
GIOHHFHI_00244	contig_1_pilon	252766	253065	+	300	248	239	274
GIOHHFHI_00245	contig_1_pilon	253941	255719	+	1779	108	59	45
GIOHHFHI_00246	contig_1_pilon	255774	255935	+	162	15	2	5
GIOHHFHI_00247	contig_1_pilon	256014	256286	-	273	12	15	11
GIOHHFHI_00248	contig_1_pilon	256590	257411	-	822	24	24	17
GIOHHFHI_00249	contig_1_pilon	257427	257717	-	291	57	21	52
GIOHHFHI_00250	contig_1_pilon	257825	258109	-	285	54	81	25
GIOHHFHI_00251	contig_1_pilon	258685	258834	+	150	31	15	15
GIOHHFHI_00252	contig_1_pilon	259085	259312	-	228	3	6	4
GIOHHFHI_00253	contig_1_pilon	259656	260063	+	408	36	27	56
GIOHHFHI_00254	contig_1_pilon	260291	267730	+	7440	182	197	213
GIOHHFHI_00255	contig_1_pilon	267668	268048	-	381	56	54	26
GIOHHFHI_00256	contig_1_pilon	268571	269599	-	1029	82	152	117
GIOHHFHI_00257	contig_1_pilon	269739	270218	-	480	0	12	11
GIOHHFHI_00258	contig_1_pilon	270249	271121	-	873	0	0	0
GIOHHFHI_00259	contig_1_pilon	271118	272347	-	1230	10	2	2
GIOHHFHI_00260	contig_1_pilon	272397	272729	-	333	0	4	0
GIOHHFHI_00261	contig_1_pilon	272734	273957	-	1224	2	8	4
GIOHHFHI_00262	contig_1_pilon	273954	274466	-	513	0	0	2
GIOHHFHI_00263	contig_1_pilon	274463	275296	-	834	10	0	0
GIOHHFHI_00264	contig_1_pilon	275333	275728	-	396	0	0	0
GIOHHFHI_00265	contig_1_pilon	275762	276205	-	444	2	0	1
GIOHHFHI_00266	contig_1_pilon	276202	276645	-	444	0	0	4
GIOHHFHI_00267	contig_1_pilon	276739	277086	-	348	0	0	2
GIOHHFHI_00268	contig_1_pilon	277330	278115	-	786	2	0	14
GIOHHFHI_00269	contig_1_pilon	278085	278786	-	702	2	2	5
GIOHHFHI_00270	contig_1_pilon	278803	279282	-	480	0	4	0
GIOHHFHI_00271	contig_1_pilon	279279	279935	-	657	10	5	7
GIOHHFHI_00272	contig_1_pilon	280086	280841	-	756	14	16	6
GIOHHFHI_00273	contig_1_pilon	281340	282461	+	1122	11	12	6
GIOHHFHI_00274	contig_1_pilon	282785	283096	+	312	0	0	0
GIOHHFHI_00275	contig_1_pilon	283096	283764	+	669	0	2	0
GIOHHFHI_00276	contig_1_pilon	283780	285141	+	1362	78	68	50
GIOHHFHI_00277	contig_1_pilon	285218	286690	+	1473	0	10	3
GIOHHFHI_00278	contig_1_pilon	287047	287499	+	453	0	0	0
GIOHHFHI_00279	contig_1_pilon	287525	289033	+	1509	0	0	5
GIOHHFHI_00280	contig_1_pilon	289044	289610	+	567	0	4	2
GIOHHFHI_00281	contig_1_pilon	289965	290753	+	789	0	0	0
GIOHHFHI_00282	contig_1_pilon	290764	291378	+	615	0	0	4
GIOHHFHI_00283	contig_1_pilon	291482	292162	+	681	2	0	2
GIOHHFHI_00285	contig_1_pilon	293306	293761	+	456	8	0	0
GIOHHFHI_00286	contig_1_pilon	293758	294102	+	345	0	0	1
GIOHHFHI_00287	contig_1_pilon	294193	295299	+	1107	0	0	4
GIOHHFHI_00288	contig_1_pilon	295368	296123	-	756	58	64	98
GIOHHFHI_00289	contig_1_pilon	296293	296910	-	618	391	297	244
GIOHHFHI_00290	contig_1_pilon	297162	297695	-	534	157	149	155
GIOHHFHI_00291	contig_1_pilon	298200	298697	+	498	13	20	6
GIOHHFHI_00292	contig_1_pilon	298796	299233	+	438	12	12	20
GIOHHFHI_00293	contig_1_pilon	299230	300015	+	786	2	0	0
GIOHHFHI_00294	contig_1_pilon	300012	300869	+	858	4	0	0
GIOHHFHI_00295	contig_1_pilon	300883	301578	+	696	0	0	0
GIOHHFHI_00296	contig_1_pilon	301602	302360	+	759	0	0	2
GIOHHFHI_00297	contig_1_pilon	302447	302854	+	408	0	0	2
GIOHHFHI_00298	contig_1_pilon	303129	303509	+	381	0	0	2
GIOHHFHI_00299	contig_1_pilon	303506	304309	+	804	0	0	0
GIOHHFHI_00300	contig_1_pilon	304338	304694	+	357	0	0	0
GIOHHFHI_00301	contig_1_pilon	305787	306113	+	327	3	0	2
GIOHHFHI_00302	contig_1_pilon	306453	308240	+	1788	0	4	8
GIOHHFHI_00303	contig_1_pilon	308325	308936	+	612	0	14	10
GIOHHFHI_00304	contig_1_pilon	309264	310064	+	801	14	0	1
GIOHHFHI_00305	contig_1_pilon	310186	310611	+	426	2	0	0
GIOHHFHI_00306	contig_1_pilon	310855	311595	+	741	0	0	0
GIOHHFHI_00307	contig_1_pilon	311592	312836	+	1245	0	2	0
GIOHHFHI_00308	contig_1_pilon	312836	313957	+	1122	0	0	0
GIOHHFHI_00309	contig_1_pilon	313993	314295	+	303	2	6	1
GIOHHFHI_00310	contig_1_pilon	314379	315002	+	624	69	148	93
GIOHHFHI_00311	contig_1_pilon	315304	315585	+	282	163	160	206
GIOHHFHI_00312	contig_1_pilon	316097	316321	-	225	165	163	137
GIOHHFHI_00313	contig_1_pilon	316946	318514	+	1569	4	2	5
GIOHHFHI_00314	contig_1_pilon	318646	319596	-	951	29	37	40
GIOHHFHI_00315	contig_1_pilon	319723	320412	-	690	19	17	39
GIOHHFHI_00316	contig_1_pilon	320530	321285	-	756	65	69	129
GIOHHFHI_00317	contig_1_pilon	322627	326352	+	3726	949	1072	1546
GIOHHFHI_00318	contig_1_pilon	326354	327994	+	1641	278	443	771
GIOHHFHI_00319	contig_1_pilon	327991	328617	+	627	25	34	95
GIOHHFHI_00320	contig_1_pilon	328614	329405	+	792	142	143	288
GIOHHFHI_00321	contig_1_pilon	329524	330579	+	1056	84	98	151
GIOHHFHI_00322	contig_1_pilon	330747	331811	-	1065	14	21	1
GIOHHFHI_00323	contig_1_pilon	331954	332445	-	492	21	1	8
GIOHHFHI_00324	contig_1_pilon	333143	334168	+	1026	49	14	72
GIOHHFHI_00325	contig_1_pilon	334147	334329	-	183	14	14	7
GIOHHFHI_00326	contig_1_pilon	335116	335574	-	459	41	85	74
GIOHHFHI_00327	contig_1_pilon	335966	336697	+	732	108	122	93
GIOHHFHI_00328	contig_1_pilon	336977	337324	+	348	2	1	4
GIOHHFHI_00329	contig_1_pilon	337538	338014	+	477	33	27	19
GIOHHFHI_00330	contig_1_pilon	338309	338965	+	657	2	0	6
GIOHHFHI_00331	contig_1_pilon	339208	339615	-	408	145	203	138
GIOHHFHI_00332	contig_1_pilon	340309	341010	-	702	77	62	103
GIOHHFHI_00333	contig_1_pilon	341247	341702	-	456	24	41	42
GIOHHFHI_00334	contig_1_pilon	342299	343054	-	756	99	57	88
GIOHHFHI_00335	contig_1_pilon	343231	344472	-	1242	1	1	2
GIOHHFHI_00336	contig_1_pilon	344672	345403	+	732	6	22	5
GIOHHFHI_00337	contig_1_pilon	345554	346594	-	1041	407	392	440
GIOHHFHI_00338	contig_1_pilon	347392	348819	+	1428	62	84	102
GIOHHFHI_00339	contig_1_pilon	348949	349602	+	654	63	73	86
GIOHHFHI_00340	contig_1_pilon	349656	349994	-	339	0	0	0
GIOHHFHI_00341	contig_1_pilon	350026	350973	-	948	13	17	9
GIOHHFHI_00342	contig_1_pilon	350973	351587	-	615	20	39	22
GIOHHFHI_00343	contig_1_pilon	351587	352435	-	849	87	73	78
GIOHHFHI_00344	contig_1_pilon	353080	354333	-	1254	288	248	261
GIOHHFHI_00345	contig_1_pilon	354733	355425	-	693	45	85	46
GIOHHFHI_00346	contig_1_pilon	355968	356177	+	210	1	0	0
GIOHHFHI_00347	contig_1_pilon	356167	357543	+	1377	9	4	10
GIOHHFHI_00348	contig_1_pilon	357587	358813	+	1227	1	2	4
GIOHHFHI_00349	contig_1_pilon	358857	359144	+	288	82	72	138
GIOHHFHI_00350	contig_1_pilon	359713	360021	-	309	8	6	26
GIOHHFHI_00351	contig_1_pilon	360085	360495	-	411	0	4	6
GIOHHFHI_00352	contig_1_pilon	360519	360824	+	306	2	0	0
GIOHHFHI_00353	contig_1_pilon	361158	361883	+	726	16	8	6
GIOHHFHI_00354	contig_1_pilon	362034	362735	+	702	13	1	11
GIOHHFHI_00355	contig_1_pilon	363095	363532	-	438	38	33	76
GIOHHFHI_00356	contig_1_pilon	363588	363983	-	396	43	43	65
GIOHHFHI_00357	contig_1_pilon	364083	364514	-	432	216	198	217
GIOHHFHI_00358	contig_1_pilon	364697	365170	-	474	0	0	0
GIOHHFHI_00359	contig_1_pilon	365469	365750	+	282	0	2	10
GIOHHFHI_00360	contig_1_pilon	365784	365927	+	144	0	3	5
